Noun	Abs V	co-oc-a	Con V	co-oc-c	CORELEX_TYPE
activity	engage	1265	work	3211	acp
activity	focus	863	see	1722	acp
activity	reduce	641	show	1243	acp
activity	inhibit	606	saw	1043	acp
activity	promote	572	set	717	acp
activity	occur	550	lead	707	acp
activity	might	548	play	668	acp
activity	regulate	514	open	585	acp
activity	affect	505	release	585	acp
activity	continue	435	measure	562	acp
activity	prevent	432	sleep	501	acp
activity	indicate	413	rise	456	acp
activity	need	410	produce	443	acp
activity	determine	356	stop	422	acp
activity	care	342	turn	404	acp
activity	develop	340	live	382	acp
activity	suggest	338	run	373	acp
activity	improve	338	fall	334	acp
activity	maintain	332	spread	313	acp
activity	conduct	326	cross	309	acp
activity	detect	315	cover	273	acp
activity	investigate	298	stimulate	272	acp
activity	contribute	296	move	263	acp
activity	enhance	266	serve	258	acp
activity	get	266	carry	249	acp
activity	remain	263	travel	245	acp
activity	require	256	strike	245	acp
activity	represent	253	sign	245	acp
activity	keep	253	break	226	acp
activity	generate	234	dance	220	acp
activity	ensure	231	figure	218	acp
activity	suppress	214	bind	207	acp
activity	cease	211	call	204	acp
activity	trust	209	fold	204	acp
activity	describe	209	step	203	acp
activity	demand	199	build	190	acp
activity	love	192	drive	189	acp
activity	understand	185	repair	186	acp
activity	exist	185	follow	178	acp
activity	believe	184	aim	177	acp
activity	vary	180	reach	170	acp
activity	tend	166	sound	164	acp
activity	achieve	166	permit	162	acp
activity	induce	165	hold	161	acp
activity	facilitate	160	watch	156	acp
activity	establish	159	waste	155	acp
activity	offer	159	resume	155	acp
activity	gain	158	extract	146	acp
activity	explain	154	collapse	141	acp
activity	consider	151	volunteer	139	acp
activity	express	149	visit	138	acp
activity	coordinate	141	twitter	137	acp
activity	undertake	130	fell	135	acp
activity	seem	130	reverse	134	acp
activity	know	127	pay	131	acp
activity	depend	120	launch	131	acp
activity	assess	120	split	131	acp
activity	manage	112	drop	128	acp
activity	constitute	111	cut	127	acp
activity	enable	110	halt	125	acp
activity	learn	109	fight	125	acp
activity	define	108	spike	120	acp
activity	try	107	capture	119	acp
activity	retain	104	expand	119	acp
activity	stay	102	stand	115	acp
activity	correlate	100	tie	108	acp
activity	predict	99	raise	100	acp
activity	want	95	check	98	acp
activity	restrict	94	hit	96	acp
activity	enjoy	89	escape	94	acp
activity	relate	87	read	94	acp
activity	sustain	85	hunt	92	acp
activity	shall	84	cast	92	acp
activity	prepare	84	draw	92	acp
activity	discover	79	treat	87	acp
activity	recognize	76	fly	84	acp
activity	let	76	walk	83	acp
activity	lose	74	write	80	acp
activity	feel	74	switch	76	acp
activity	rely	72	notice	75	acp
activity	evaluate	70	lay	71	acp
activity	analyze	70	shut	68	acp
activity	prohibit	69	collect	67	acp
activity	differ	66	vote	66	acp
activity	distinguish	65	kill	66	acp
activity	deter	63	talk	66	acp
activity	hope	62	paint	66	acp
activity	assume	59	sell	65	acp
activity	characterize	57	mix	64	acp
activity	prove	55	shear	63	acp
activity	devote	55	mimic	56	acp
activity	wish	54	pick	55	acp
activity	earn	54	pose	53	acp
activity	discourage	53	speak	53	acp
activity	consist	53	smoke	52	acp
activity	confirm	51	google	51	acp
activity	happen	50	drag	51	acp
activity	commit	47	occupy	50	acp
activity	partake	47	wear	50	acp
activity	inform	47	pack	50	acp
capture	prevent	1135	capture	4406	acp
capture	try	637	kill	1173	acp
capture	manage	352	escape	1055	acp
capture	get	296	move	916	acp
capture	might	234	set	881	acp
capture	love	227	see	833	acp
capture	need	212	live	787	acp
capture	feel	174	work	687	acp
capture	continue	171	cross	516	acp
capture	focus	168	saw	456	acp
capture	hope	163	fight	450	acp
capture	keep	156	sound	448	acp
capture	gain	135	turn	436	acp
capture	want	125	lead	414	acp
capture	defend	117	fall	391	acp
capture	reduce	111	release	372	acp
capture	conduct	110	hold	344	acp
capture	develop	106	play	336	acp
capture	express	96	show	324	acp
capture	offer	96	open	307	acp
capture	ensure	92	run	281	acp
capture	enable	92	hunt	254	acp
capture	establish	91	cut	244	acp
capture	let	91	aim	224	acp
capture	remain	89	cast	215	acp
capture	facilitate	85	fell	211	acp
capture	achieve	84	reach	192	acp
capture	occur	83	break	190	acp
capture	learn	78	drive	190	acp
capture	know	75	stop	186	acp
capture	believe	74	step	182	acp
capture	stay	73	arrive	165	acp
capture	engage	72	seize	157	acp
capture	demand	71	invade	151	acp
capture	require	70	cover	151	acp
capture	promote	70	launch	147	acp
capture	discover	70	call	135	acp
capture	investigate	66	flee	132	acp
capture	represent	65	shoot	131	acp
capture	analyze	65	push	126	acp
capture	prepare	65	beat	122	acp
capture	maintain	63	build	121	acp
capture	decide	61	follow	120	acp
capture	exploit	59	strike	119	acp
capture	improve	58	split	115	acp
capture	lose	58	produce	111	acp
capture	seem	54	catch	111	acp
capture	care	54	serve	110	acp
capture	exist	54	check	102	acp
capture	prove	53	eat	101	acp
capture	retain	52	carry	100	acp
capture	succeed	52	jump	96	acp
capture	detect	50	fly	96	acp
capture	wonder	48	figure	94	acp
capture	determine	47	travel	93	acp
capture	describe	47	drop	92	acp
capture	indicate	47	blow	91	acp
