Noun	Abs V	co-oc-a	Con V	co-oc-c	CORELEX_TYPE
competition	qualify	1820	show	6298	acr
competition	represent	1190	open	5418	acr
competition	try	1003	play	5341	acr
competition	determine	882	dance	3689	acr
competition	get	851	run	3631	acr
competition	love	713	set	3436	acr
competition	promote	708	draw	2468	acr
competition	continue	635	see	2381	acr
competition	reduce	566	work	2376	acr
competition	focus	548	saw	2203	acr
competition	decide	517	knock	1942	acr
competition	prevent	467	jump	1704	acr
competition	remain	431	cross	1608	acr
competition	keep	427	live	1464	acr
competition	stay	424	beat	1404	acr
competition	offer	386	figure	1372	acr
competition	develop	381	split	1184	acr
competition	ensure	365	lead	1115	acr
competition	need	365	reach	843	acr
competition	demand	358	throw	802	acr
competition	improve	329	fall	756	acr
competition	gain	321	release	733	acr
competition	might	314	break	733	acr
competition	lose	301	tie	726	acr
competition	earn	281	move	701	acr
competition	establish	262	vote	676	acr
competition	achieve	262	hold	625	acr
competition	let	253	build	531	acr
competition	trust	252	cast	517	acr
competition	want	251	cook	492	acr
competition	prepare	245	drag	479	acr
competition	conduct	218	launch	477	acr
competition	maintain	217	travel	451	acr
competition	hope	208	fight	441	acr
competition	express	200	fell	437	acr
competition	occur	196	produce	431	acr
competition	consist	195	cut	431	acr
competition	engage	193	stand	421	acr
competition	care	180	turn	418	acr
competition	vary	171	sing	409	acr
competition	exist	163	hit	395	acr
competition	affect	162	skate	393	acr
competition	vex	158	slam	388	acr
competition	dominate	143	call	384	acr
competition	defend	143	step	374	acr
competition	know	141	shoot	351	acr
competition	prove	131	drop	346	acr
competition	manage	128	rise	339	acr
competition	believe	123	drive	333	acr
competition	feel	123	cover	331	acr
competition	retain	115	aim	330	acr
competition	tend	110	bloom	305	acr
competition	excel	109	wear	285	acr
competition	restrict	108	stop	271	acr
competition	require	107	sound	262	acr
competition	consider	105	walk	259	acr
competition	indicate	103	write	240	acr
competition	wish	97	google	233	acr
competition	shall	97	snatch	224	acr
competition	succeed	93	fly	215	acr
competition	solve	91	pay	214	acr
competition	facilitate	87	serve	214	acr
competition	enhance	87	sign	209	acr
competition	learn	82	raise	205	acr
competition	lessen	82	spread	204	acr
competition	cope	81	measure	200	acr
competition	enable	81	hunt	195	acr
competition	recognize	79	sell	194	acr
competition	accommodate	78	kick	192	acr
competition	commemorate	77	expand	191	acr
competition	discover	77	watch	191	acr
competition	belong	74	hop	189	acr
competition	suffer	74	swim	186	acr
competition	regulate	73	follow	185	acr
competition	explain	72	spin	182	acr
competition	describe	71	roll	180	acr
competition	contribute	70	scramble	169	acr
competition	comply	69	dunk	162	acr
competition	investigate	69	pick	160	acr
competition	enjoy	69	lift	154	acr
competition	overcome	67	screenwriting	153	acr
competition	welcome	66	switch	153	acr
competition	conclude	60	touch	148	acr
competition	happen	60	strike	148	acr
competition	restructure	60	carry	141	acr
competition	agree	60	pull	139	acr
competition	suppress	58	mix	135	acr
competition	guess	58	resume	133	acr
competition	dare	58	talk	130	acr
competition	implement	58	rob	123	acr
competition	minimize	58	capture	117	acr
competition	contend	56	visit	115	acr
competition	seem	55	smash	113	acr
competition	suggest	55	buy	111	acr
competition	promise	55	read	110	acr
competition	guarantee	54	climb	108	acr
competition	woo	52	bash	99	acr
competition	define	51	kill	98	acr
competition	emerge	51	push	96	acr
competition	understand	50	shut	95	acr
involvement	focus	264	work	1307	acr
involvement	care	245	show	585	acr
involvement	promote	231	see	512	acr
involvement	continue	230	saw	365	acr
involvement	deny	222	release	315	acr
involvement	love	185	lead	293	acr
involvement	need	183	set	285	acr
involvement	might	176	play	267	acr
involvement	get	160	cover	264	acr
involvement	keep	152	run	234	acr
involvement	trust	146	open	224	acr
involvement	require	142	fight	203	acr
involvement	investigate	140	cast	194	acr
involvement	prevent	131	strike	174	acr
involvement	develop	121	volunteer	166	acr
involvement	reduce	113	live	144	acr
involvement	know	110	cross	130	acr
involvement	prove	104	figure	115	acr
involvement	ensure	103	move	114	acr
involvement	suggest	103	escape	111	acr
involvement	indicate	95	turn	111	acr
involvement	believe	94	kill	109	acr
involvement	establish	93	fall	104	acr
involvement	improve	92	rise	104	acr
involvement	maintain	89	vote	101	acr
involvement	conduct	88	stop	100	acr
involvement	remain	86	call	97	acr
involvement	occur	81	cut	91	acr
involvement	want	81	step	89	acr
involvement	resign	81	capture	87	acr
involvement	overthrow	80	hit	86	acr
involvement	confirm	79	hide	85	acr
involvement	learn	75	serve	83	acr
involvement	determine	72	sign	83	acr
involvement	offer	72	pay	82	acr
involvement	hope	64	dance	79	acr
involvement	facilitate	63	break	78	acr
involvement	try	63	produce	75	acr
involvement	gain	60	sound	74	acr
involvement	admit	60	raise	74	acr
involvement	demand	59	expand	73	acr
involvement	consider	58	stand	72	acr
involvement	doubt	58	aim	70	acr
involvement	regret	57	lay	70	acr
involvement	justify	56	talk	68	acr
involvement	affect	56	spread	67	acr
involvement	describe	56	launch	67	acr
