Noun	Abs V	co-oc-a	Con V	co-oc-c	CORELEX_TYPE
facility	care	3585	build	1769	ara
facility	accommodate	487	open	1549	ara
facility	need	468	waste	1490	ara
facility	establish	359	work	1466	ara
facility	develop	347	see	1278	ara
facility	continue	277	set	1139	ara
facility	demand	262	repair	1085	ara
facility	maintain	260	run	1076	ara
facility	trust	258	launch	1014	ara
facility	offer	247	move	804	ara
facility	remain	222	serve	687	ara
facility	get	219	call	575	ara
facility	focus	213	produce	521	ara
facility	stay	207	drive	479	ara
facility	keep	195	sign	478	ara
facility	manage	185	fall	459	ara
facility	improve	181	escape	419	ara
facility	conduct	161	expand	394	ara
facility	express	157	release	347	ara
facility	ensure	144	live	346	ara
facility	reduce	141	play	321	ara
facility	prevent	140	shut	318	ara
facility	require	132	sound	311	ara
facility	hope	118	show	304	ara
facility	generate	111	cross	261	ara
facility	investigate	99	lead	257	ara
facility	discover	98	hold	252	ara
facility	might	97	visit	252	ara
facility	enable	96	stand	252	ara
facility	facilitate	86	saw	249	ara
facility	learn	84	turn	224	ara
facility	prepare	84	stop	215	ara
facility	gain	79	travel	208	ara
facility	occur	69	pay	197	ara
facility	utilize	64	cover	189	ara
facility	determine	64	handle	188	ara
facility	try	64	permit	182	ara
facility	shall	62	reach	176	ara
facility	achieve	61	sing	158	ara
facility	exist	61	strike	155	ara
facility	love	58	break	154	ara
facility	let	57	dance	154	ara
facility	promote	53	sell	153	ara
facility	implement	52	shed	135	ara
facility	vary	50	spread	132	ara
facility	want	50	treat	128	ara
facility	welcome	48	kill	120	ara
facility	consist	48	capture	116	ara
facility	indicate	48	hit	115	ara
facility	consider	47	cut	110	ara
facility	retain	46	check	109	ara
facility	comply	44	raise	108	ara
facility	enhance	42	walk	108	ara
facility	evaluate	38	lock	108	ara
facility	earn	38	bend	102	ara
facility	believe	37	carry	95	ara
facility	know	37	volunteer	94	ara
facility	guarantee	36	fell	92	ara
facility	represent	36	cast	92	ara
facility	simulate	36	fight	90	ara
facility	enjoy	33	buy	89	ara
facility	rehabilitate	31	roll	89	ara
facility	comprise	31	watch	85	ara
facility	contribute	30	rebuild	84	ara
facility	cope	29	drop	84	ara
facility	integrate	29	paint	83	ara
facility	avail	28	mix	81	ara
facility	neglect	28	wash	79	ara
facility	cease	28	split	78	ara
facility	qualify	27	step	77	ara
facility	redevelop	27	barge	73	ara
facility	engage	27	measure	72	ara
facility	incorporate	27	arrive	71	ara
facility	lose	27	spaceport	71	ara
facility	overcome	27	drag	69	ara
facility	decide	26	cook	69	ara
facility	minimize	26	aim	68	ara
facility	undertake	25	read	68	ara
facility	afford	25	rise	68	ara
facility	promise	24	occupy	67	ara
facility	resemble	24	switch	66	ara
facility	detect	24	burn	65	ara
facility	approve	23	google	62	ara
facility	educate	23	figure	62	ara
facility	withstand	23	reuse	62	ara
facility	wish	22	fly	62	ara
facility	define	22	follow	59	ara
facility	sustain	22	lift	59	ara
facility	authorize	22	dump	57	ara
facility	terminate	22	skate	57	ara
facility	defend	22	retrieve	56	ara
facility	convince	21	fill	53	ara
facility	commemorate	21	tire	53	ara
facility	await	20	seal	50	ara
facility	procure	20	smoke	49	ara
facility	encompass	20	notice	48	ara
facility	coordinate	20	lay	47	ara
facility	suggest	19	demolish	46	ara
facility	affect	19	jump	46	ara
facility	resolve	19	spill	44	ara
low	keep	2070	set	3567	ara
low	demand	1846	work	3465	ara
low	get	1567	rise	3316	ara
low	need	1228	see	3182	ara
low	occur	1225	show	2858	ara
low	care	1148	open	2782	ara
low	reduce	1006	run	1908	ara
low	tend	984	cut	1791	ara
low	offer	909	lead	1780	ara
low	might	838	sound	1713	ara
low	love	829	produce	1680	ara
low	maintain	829	kick	1657	ara
low	develop	826	pay	1566	ara
low	remain	802	hit	1472	ara
low	improve	779	shear	1399	ara
low	require	756	release	1365	ara
low	gain	686	cross	1320	ara
low	focus	684	live	1315	ara
low	prevent	681	fell	1175	ara
low	achieve	634	cover	1116	ara
low	indicate	578	blow	1101	ara
low	continue	479	drop	1019	ara
low	detect	478	play	1004	ara
low	suggest	428	turn	988	ara
low	exist	413	reach	988	ara
low	stay	409	drive	984	ara
low	ensure	388	fall	960	ara
low	let	378	drag	935	ara
low	affect	377	waste	932	ara
low	vary	354	saw	922	ara
low	express	349	move	915	ara
low	enable	346	launch	911	ara
low	trust	327	fly	815	ara
low	generate	324	swing	778	ara
low	feel	323	build	772	ara
low	contribute	300	call	766	ara
low	promote	293	figure	724	ara
low	consist	271	split	722	ara
low	lose	258	cast	657	ara
low	represent	256	lay	632	ara
low	suffer	251	serve	631	ara
low	know	250	travel	620	ara
low	determine	249	spin	618	ara
low	explain	241	mix	601	ara
low	prefer	240	thrust	543	ara
low	want	237	sell	540	ara
low	tolerate	218	stop	510	ara
low	seem	213	carry	500	ara
low	accommodate	213	lift	494	ara
low	consider	211	spread	470	ara
low	establish	209	step	470	ara
low	describe	205	strike	460	ara
low	believe	201	sign	453	ara
low	hope	197	speak	446	ara
low	conduct	196	vote	446	ara
low	try	195	hold	442	ara
low	afford	187	measure	412	ara
low	engage	187	fight	402	ara
low	overcome	181	buy	382	ara
low	facilitate	174	break	355	ara
low	qualify	173	scrub	339	ara
low	enhance	159	roll	334	ara
low	minimize	155	switch	330	ara
low	retain	152	wear	326	ara
low	distinguish	151	stand	324	ara
low	withstand	144	capture	323	ara
low	rely	133	follow	321	ara
low	exceed	130	reverse	314	ara
low	earn	126	walk	301	ara
low	learn	123	cook	299	ara
low	manage	120	read	289	ara
low	sustain	119	beat	289	ara
low	weaken	116	dance	289	ara
low	induce	115	kickboxing	284	ara
low	differ	112	permit	280	ara
low	cope	111	draw	278	ara
low	happen	107	smoke	273	ara
low	implement	107	hang	272	ara
low	dominate	106	aim	265	ara
low	belong	105	fill	256	ara
low	depend	105	raise	254	ara
low	utilize	103	sleep	249	ara
low	inhibit	99	burn	244	ara
low	adopt	99	escape	241	ara
low	understand	98	treat	240	ara
low	enjoy	98	handle	233	ara
low	justify	96	jump	230	ara
low	expect	94	pave	221	ara
low	thrive	92	dive	220	ara
low	correspond	91	sing	214	ara
low	compromise	90	shut	210	ara
low	investigate	89	hop	202	ara
low	shall	89	expand	201	ara
low	maximize	86	stretch	200	ara
low	recommend	85	write	194	ara
low	wish	85	shoot	193	ara
low	defend	85	lock	188	ara
low	prove	81	stall	186	ara
low	promise	81	check	183	ara
low	solve	81	pull	182	ara
piano	love	2157	lead	5487	ara
piano	woo	753	play	5043	ara
piano	learn	368	work	3500	ara
piano	get	324	pour	2850	ara
piano	let	302	dance	2123	ara
piano	know	207	live	2075	ara
piano	lament	192	sound	1969	ara
piano	hope	180	set	1666	ara
piano	paraphrase	173	see	1097	ara
piano	feel	168	show	796	ara
piano	want	159	roll	766	ara
piano	reissue	157	release	737	ara
piano	focus	152	sing	537	ara
piano	keep	137	cover	525	ara
piano	continue	128	rob	517	ara
piano	wonder	115	slide	465	ara
piano	need	111	beat	436	ara
piano	stay	106	chuck	431	ara
piano	try	106	mix	378	ara
piano	believe	80	write	337	ara
piano	exist	79	open	299	ara
piano	might	78	hit	256	ara
piano	care	76	saw	250	ara
piano	reprise	74	read	229	ara
piano	develop	63	shoot	224	ara
piano	sustain	62	cook	215	ara
piano	express	61	cast	210	ara
piano	wish	60	fall	198	ara
piano	remain	60	touch	195	ara
piano	earn	60	hear	188	ara
piano	shall	58	move	186	ara
piano	welcome	55	run	183	ara
piano	offer	53	cross	169	ara
piano	promise	51	break	165	ara
piano	imagine	50	call	160	ara
piano	enjoy	50	turn	155	ara
piano	represent	49	cut	151	ara
piano	prepare	47	swing	149	ara
piano	consist	46	listen	146	ara
piano	forget	44	figure	146	ara
piano	trust	44	step	145	ara
piano	hate	42	stand	143	ara
piano	demand	41	stop	140	ara
piano	seem	40	walk	134	ara
piano	improve	37	hop	133	ara
piano	describe	36	harden	117	ara
piano	regret	35	talk	115	ara
piano	understand	34	seal	112	ara
