Noun	Abs V	co-oc-a	Con V	co-oc-c	CORELEX_TYPE
borough	trust	255	cast	1341	gsl
borough	represent	172	spread	1054	gsl
borough	gain	110	see	945	gsl
borough	care	95	run	482	gsl
borough	hope	94	bury	466	gsl
borough	remain	79	serve	448	gsl
borough	exist	73	vote	427	gsl
borough	coordinate	66	open	343	gsl
borough	continue	58	cross	332	gsl
borough	retain	49	work	321	gsl
borough	focus	47	split	253	gsl
borough	incorporate	46	play	248	gsl
borough	improve	44	set	238	gsl
borough	establish	44	turn	202	gsl
borough	offer	43	hold	177	gsl
borough	appoint	41	saw	174	gsl
borough	keep	39	wear	173	gsl
borough	maintain	38	live	132	gsl
borough	manage	35	move	121	gsl
borough	love	35	seal	121	gsl
borough	express	35	stop	108	gsl
borough	need	34	build	103	gsl
borough	develop	33	tie	102	gsl
borough	promote	31	cover	97	gsl
borough	get	31	volunteer	95	gsl
borough	shall	28	sign	87	gsl
borough	consist	27	stand	84	gsl
borough	commemorate	27	fell	82	gsl
borough	accommodate	25	figure	81	gsl
borough	prevent	25	drive	81	gsl
borough	reduce	24	lay	80	gsl
borough	belong	23	draw	77	gsl
borough	stay	23	lead	77	gsl
borough	demand	23	fill	76	gsl
borough	might	23	rise	76	gsl
borough	comprise	22	sit	72	gsl
borough	investigate	22	lock	70	gsl
borough	conduct	21	show	69	gsl
borough	confer	21	merge	64	gsl
borough	welcome	20	permit	62	gsl
borough	describe	20	beat	61	gsl
borough	let	20	cut	57	gsl
borough	affect	19	cook	55	gsl
borough	distinguish	19	walk	53	gsl
borough	try	19	elk	53	gsl
borough	lose	19	pay	52	gsl
borough	consider	18	travel	50	gsl
borough	ensure	18	waste	47	gsl
borough	decide	17	zip	46	gsl
borough	constitute	17	stretch	46	gsl
borough	govern	17	visit	46	gsl
borough	correspond	17	watch	41	gsl
borough	adopt	17	fall	40	gsl
borough	approve	16	call	38	gsl
borough	succeed	16	hop	37	gsl
borough	qualify	15	reach	36	gsl
borough	contribute	15	roll	35	gsl
borough	determine	14	expand	34	gsl
borough	encompass	14	sell	31	gsl
borough	indicate	14	bend	31	gsl
borough	achieve	13	release	30	gsl
borough	redevelop	12	read	30	gsl
borough	procure	12	paint	30	gsl
borough	reject	12	demolish	29	gsl
borough	wish	11	notice	26	gsl
borough	generate	11	raise	26	gsl
borough	settle	11	repair	25	gsl
borough	facilitate	10	buy	24	gsl
borough	occur	10	hunt	24	gsl
borough	declare	10	hit	24	gsl
borough	enjoy	10	break	23	gsl
borough	aspire	9	mix	23	gsl
borough	seem	9	dance	23	gsl
borough	afford	9	measure	22	gsl
borough	vary	9	strike	20	gsl
borough	want	9	aim	19	gsl
borough	resolve	9	halt	19	gsl
borough	revert	9	trim	19	gsl
borough	feel	9	produce	18	gsl
borough	defend	9	carry	18	gsl
borough	enable	8	forge	17	gsl
borough	tame	8	write	17	gsl
borough	require	8	follow	16	gsl
borough	dominate	8	intersect	16	gsl
borough	resign	8	sound	16	gsl
borough	coincide	8	burn	15	gsl
borough	agree	8	kill	14	gsl
borough	prepare	8	swing	14	gsl
borough	compromise	7	comb	14	gsl
borough	guarantee	7	speak	13	gsl
borough	repeal	7	pour	13	gsl
borough	differentiate	6	fight	13	gsl
borough	happen	6	collect	12	gsl
borough	cope	6	step	12	gsl
borough	regain	6	peel	12	gsl
borough	evolve	6	occupy	11	gsl
borough	derive	6	spruce	11	gsl
borough	negotiate	6	drop	11	gsl
borough	abolish	6	lick	11	gsl
borough	justify	5	brush	11	gsl
commonwealth	represent	500	see	2104	gsl
commonwealth	trust	325	jump	641	gsl
commonwealth	qualify	199	work	627	gsl
commonwealth	remain	180	set	574	gsl
commonwealth	establish	176	open	438	gsl
commonwealth	shall	170	cross	405	gsl
commonwealth	care	163	throw	391	gsl
commonwealth	need	128	vote	336	gsl
commonwealth	continue	118	run	241	gsl
commonwealth	maintain	103	saw	240	gsl
commonwealth	exist	90	fight	235	gsl
commonwealth	occur	89	serve	200	gsl
commonwealth	promote	88	play	192	gsl
commonwealth	conduct	85	snatch	180	gsl
commonwealth	retain	84	lead	170	gsl
commonwealth	legislate	83	cook	162	gsl
commonwealth	get	81	hold	153	gsl
commonwealth	love	77	seal	150	gsl
commonwealth	defend	76	pay	138	gsl
commonwealth	focus	75	fall	134	gsl
commonwealth	determine	73	live	132	gsl
commonwealth	commemorate	73	visit	128	gsl
commonwealth	prevent	71	read	126	gsl
commonwealth	develop	67	walk	108	gsl
commonwealth	hope	64	split	104	gsl
commonwealth	keep	63	show	100	gsl
commonwealth	offer	61	travel	94	gsl
commonwealth	express	59	fell	93	gsl
commonwealth	might	57	call	91	gsl
commonwealth	gain	50	turn	88	gsl
commonwealth	demand	47	scratch	87	gsl
commonwealth	achieve	47	move	83	gsl
commonwealth	consider	44	beat	81	gsl
commonwealth	ensure	44	hunt	79	gsl
commonwealth	require	43	rise	79	gsl
commonwealth	improve	38	stand	73	gsl
commonwealth	guarantee	38	cover	72	gsl
commonwealth	regulate	37	figure	71	gsl
commonwealth	prepare	37	release	67	gsl
commonwealth	declare	36	collapse	65	gsl
commonwealth	investigate	36	spread	65	gsl
commonwealth	impose	35	break	65	gsl
commonwealth	recognize	34	drive	64	gsl
commonwealth	stay	34	stop	63	gsl
commonwealth	describe	34	reach	63	gsl
commonwealth	try	34	sign	63	gsl
commonwealth	agree	31	sell	57	gsl
commonwealth	adopt	31	build	57	gsl
commonwealth	reduce	29	carry	57	gsl
commonwealth	lose	29	follow	56	gsl
commonwealth	amend	29	produce	55	gsl
commonwealth	succeed	29	cut	54	gsl
commonwealth	decide	28	write	49	gsl
commonwealth	manage	27	raise	47	gsl
commonwealth	welcome	27	reverse	46	gsl
commonwealth	promise	27	sound	46	gsl
commonwealth	believe	26	volunteer	44	gsl
commonwealth	compromise	26	capture	43	gsl
commonwealth	engage	26	aim	43	gsl
commonwealth	enable	24	expand	42	gsl
commonwealth	constitute	24	roll	42	gsl
commonwealth	know	23	cast	41	gsl
commonwealth	advise	23	swim	41	gsl
commonwealth	repeal	23	dance	37	gsl
commonwealth	coincide	23	sing	37	gsl
commonwealth	postpone	23	step	37	gsl
commonwealth	belong	22	strike	35	gsl
commonwealth	undertake	22	lay	34	gsl
commonwealth	implement	22	lift	34	gsl
commonwealth	contribute	21	draw	34	gsl
commonwealth	comply	21	escape	32	gsl
commonwealth	assume	20	launch	32	gsl
commonwealth	abolish	20	aircrew	32	gsl
commonwealth	settle	20	fly	31	gsl
commonwealth	earn	20	permit	30	gsl
commonwealth	prove	19	wear	27	gsl
commonwealth	negotiate	19	measure	26	gsl
commonwealth	enact	19	fill	25	gsl
commonwealth	cease	19	halt	25	gsl
commonwealth	rely	18	hoist	25	gsl
commonwealth	define	18	hit	24	gsl
commonwealth	regain	17	sit	23	gsl
commonwealth	let	17	speak	21	gsl
commonwealth	overthrow	17	talk	21	gsl
commonwealth	comprise	16	notice	20	gsl
commonwealth	satisfy	16	occupy	19	gsl
commonwealth	consist	16	repair	19	gsl
commonwealth	enhance	16	watch	19	gsl
commonwealth	govern	16	buy	18	gsl
commonwealth	confer	14	treat	18	gsl
commonwealth	ought	13	publish	17	gsl
commonwealth	afford	13	rob	17	gsl
commonwealth	approve	13	forge	17	gsl
commonwealth	accommodate	13	tie	17	gsl
commonwealth	prohibit	13	blow	16	gsl
commonwealth	want	13	waste	15	gsl
commonwealth	feel	13	merge	15	gsl
commonwealth	affect	12	catch	15	gsl
