Noun	Abs V	co-oc-a	Con V	co-oc-c	CORELEX_TYPE
goal	achieve	4301	draw	10251	lap
goal	try	2499	lead	9361	lap
goal	get	1981	kick	6871	lap
goal	promote	1226	set	6229	lap
goal	develop	1129	play	6015	lap
goal	improve	1025	tie	2563	lap
goal	reduce	1001	reach	2485	lap
goal	establish	833	drive	2337	lap
goal	accomplish	787	run	2206	lap
goal	keep	753	drop	2079	lap
goal	prevent	727	work	2049	lap
goal	ensure	725	beat	2003	lap
goal	settle	711	saw	1618	lap
goal	determine	600	open	1610	lap
goal	focus	600	hit	1570	lap
goal	gain	566	cross	1489	lap
goal	care	475	see	1158	lap
goal	lose	461	strike	1082	lap
goal	need	455	throw	1054	lap
goal	continue	428	build	936	lap
goal	maintain	421	move	924	lap
goal	understand	407	show	883	lap
goal	earn	397	break	877	lap
goal	qualify	369	fell	851	lap
goal	love	335	cut	794	lap
goal	attain	323	stand	747	lap
goal	let	323	produce	730	lap
goal	offer	299	raise	721	lap
goal	manage	296	brace	664	lap
goal	remain	288	shoot	562	lap
goal	prove	286	stop	501	lap
goal	educate	280	touch	473	lap
goal	might	279	capture	464	lap
goal	stay	276	turn	464	lap
goal	contribute	265	live	437	lap
goal	enable	262	fight	430	lap
goal	enhance	249	release	418	lap
goal	learn	245	step	395	lap
goal	hope	241	fumble	391	lap
goal	want	235	call	382	lap
goal	fulfill	231	hold	381	lap
goal	concede	222	collect	351	lap
goal	defend	221	serve	345	lap
goal	facilitate	209	bury	318	lap
goal	minimize	208	fall	316	lap
goal	prepare	205	seal	314	lap
goal	represent	198	rob	307	lap
goal	realize	196	aim	295	lap
goal	overcome	195	expand	293	lap
goal	express	181	haul	289	lap
goal	implement	178	spread	276	lap
goal	trust	176	sound	268	lap
goal	maximize	174	push	265	lap
goal	believe	173	kill	263	lap
goal	feel	166	stretch	261	lap
goal	know	165	catch	258	lap
goal	describe	165	tackle	256	lap
goal	discover	163	follow	248	lap
goal	inspire	146	launch	239	lap
goal	solve	146	hunt	229	lap
goal	conduct	145	snap	218	lap
goal	decide	144	pull	214	lap
goal	engage	142	cover	214	lap
goal	generate	141	travel	209	lap
goal	overthrow	141	split	209	lap
goal	regain	140	vote	199	lap
goal	shall	139	write	189	lap
goal	consider	133	measure	182	lap
goal	wonder	126	waste	181	lap
goal	define	121	pick	181	lap
goal	succeed	118	stick	180	lap
goal	investigate	117	sign	174	lap
goal	empower	116	cast	169	lap
goal	integrate	114	dance	169	lap
goal	retain	110	lift	163	lap
