Noun	Abs V	co-oc-a	Con V	co-oc-c	CORELEX_TYPE
northeast	qualify	783	see	1216	lor
northeast	originate	489	travel	1022	lor
northeast	continue	360	run	875	lor
northeast	express	327	turn	658	lor
northeast	hope	131	cross	655	lor
northeast	focus	82	drive	586	lor
northeast	occur	78	open	521	lor
northeast	care	76	set	389	lor
northeast	remain	68	split	308	lor
northeast	establish	66	bend	285	lor
northeast	get	63	move	282	lor
northeast	develop	62	work	252	lor
northeast	weaken	56	reach	237	lor
northeast	exist	56	live	217	lor
northeast	love	51	fall	217	lor
northeast	might	51	play	211	lor
northeast	belong	50	rise	207	lor
northeast	trust	48	intersect	190	lor
northeast	represent	44	sound	185	lor
northeast	consist	43	cut	181	lor
northeast	terminate	40	stop	180	lor
northeast	indicate	37	mix	179	lor
northeast	prevent	35	hit	174	lor
northeast	keep	35	follow	170	lor
northeast	improve	34	serve	168	lor
northeast	vary	34	stretch	158	lor
northeast	offer	33	spread	157	lor
northeast	intensify	33	show	148	lor
northeast	believe	30	saw	143	lor
northeast	need	28	strike	139	lor
northeast	demand	28	lead	139	lor
northeast	promote	28	zip	134	lor
northeast	accommodate	27	shear	122	lor
northeast	dominate	27	cover	120	lor
northeast	maintain	27	cook	115	lor
northeast	comprise	26	build	111	lor
northeast	settle	26	lay	106	lor
northeast	suggest	25	stab	100	lor
northeast	tend	25	elk	95	lor
northeast	stay	25	fell	92	lor
northeast	consider	24	sign	81	lor
northeast	diverge	24	blow	74	lor
northeast	gain	24	shed	74	lor
northeast	affect	23	call	70	lor
northeast	welcome	22	wash	70	lor
northeast	defend	21	volunteer	68	lor
northeast	facilitate	20	accelerate	66	lor
northeast	conduct	19	capture	65	lor
northeast	revitalize	19	stand	64	lor
northeast	try	17	drop	62	lor
northeast	seem	16	buttress	62	lor
northeast	redeem	16	expand	59	lor
northeast	prepare	16	cast	59	lor
northeast	reduce	15	launch	57	lor
northeast	retain	15	ditch	57	lor
northeast	earn	15	thrust	55	lor
northeast	know	14	occupy	55	lor
northeast	engage	14	break	55	lor
northeast	distinguish	14	dance	53	lor
northeast	describe	13	spruce	52	lor
northeast	investigate	13	merge	50	lor
