Noun	Abs V	co-oc-a	Con V	co-oc-c	CORELEX_TYPE
aid	need	1542	work	1944	pas
aid	care	919	live	1724	pas
aid	offer	539	cross	1198	pas
aid	know	522	see	1080	pas
aid	get	517	set	935	pas
aid	trust	510	cut	642	pas
aid	improve	348	fight	638	pas
aid	prevent	344	show	441	pas
aid	might	331	escape	439	pas
aid	continue	316	call	415	pas
aid	hope	279	volunteer	403	pas
aid	focus	263	run	392	pas
aid	render	262	raise	375	pas
aid	develop	259	release	374	pas
aid	promote	254	open	350	pas
aid	reduce	234	turn	316	pas
aid	ensure	227	build	310	pas
aid	establish	225	stop	305	pas
aid	love	225	travel	285	pas
aid	keep	220	lead	262	pas
aid	gain	212	move	260	pas
aid	maintain	195	cover	259	pas
aid	require	193	serve	253	pas
aid	try	163	play	252	pas
aid	facilitate	161	fall	251	pas
aid	let	161	reach	242	pas
aid	promise	147	pay	236	pas
aid	shall	138	capture	235	pas
aid	want	137	hit	217	pas
aid	qualify	133	saw	211	pas
aid	learn	133	aim	195	pas
aid	rely	125	sleep	190	pas
aid	stay	125	arrive	186	pas
aid	remain	124	visit	185	pas
aid	conduct	122	hold	173	pas
aid	demand	115	hear	166	pas
aid	defend	115	carry	164	pas
aid	coordinate	114	sound	161	pas
aid	manage	110	sign	156	pas
aid	determine	110	kill	144	pas
aid	afford	109	repair	143	pas
aid	believe	105	spread	141	pas
aid	achieve	104	cast	140	pas
aid	understand	101	walk	138	pas
aid	exist	91	launch	137	pas
aid	contribute	89	stand	135	pas
aid	enable	78	drive	134	pas
aid	enhance	78	produce	129	pas
aid	prepare	78	fell	129	pas
aid	engage	72	break	121	pas
aid	commit	72	measure	120	pas
aid	convince	71	strike	118	pas
aid	consider	69	vote	112	pas
aid	assess	69	figure	105	pas
aid	investigate	69	follow	104	pas
aid	agree	69	rebuild	100	pas
aid	cease	65	step	100	pas
aid	guarantee	64	expand	97	pas
aid	advise	64	dance	96	pas
aid	wish	63	collect	95	pas
aid	implement	63	rise	95	pas
aid	decide	62	read	93	pas
aid	overcome	59	climb	86	pas
aid	express	58	flee	85	pas
aid	overthrow	57	split	85	pas
aid	feel	56	buy	84	pas
aid	represent	55	treat	84	pas
aid	discover	52	watch	84	pas
aid	regain	51	recruit	81	pas
aid	prove	50	speak	80	pas
aid	negotiate	50	fly	80	pas
aid	recognize	47	drop	79	pas
aid	occur	45	smoke	71	pas
aid	recall	45	write	69	pas
aid	depend	44	sell	68	pas
aid	affect	44	push	68	pas
aid	describe	44	lay	66	pas
aid	suggest	43	lift	64	pas
aid	indicate	43	stick	64	pas
aid	persuade	42	handle	62	pas
aid	lose	42	collapse	61	pas
aid	utilize	39	wear	60	pas
aid	explain	39	waste	59	pas
aid	sustain	39	hunt	59	pas
aid	generate	39	mix	59	pas
aid	earn	39	evacuate	57	pas
aid	solve	38	halt	55	pas
aid	educate	38	pull	55	pas
aid	confirm	38	check	55	pas
aid	induce	38	reverse	52	pas
aid	invoke	37	resume	49	pas
aid	resolve	37	permit	47	pas
aid	comply	37	cook	46	pas
aid	deny	37	eat	46	pas
aid	adopt	37	draw	45	pas
aid	wonder	36	escort	45	pas
aid	approve	35	pack	42	pas
aid	procure	35	freeze	42	pas
aid	prompt	34	beat	40	pas
aid	succeed	34	communicate	38	pas
cost	reduce	3034	build	4014	pas
cost	care	1774	work	3865	pas
cost	need	1063	pay	2467	pas
cost	demand	836	cover	2073	pas
cost	get	701	see	1941	pas
cost	offer	697	set	1698	pas
cost	develop	686	produce	1541	pas
cost	might	658	measure	1495	pas
cost	improve	640	run	1294	pas
cost	love	602	open	1068	pas
cost	keep	567	travel	911	pas
cost	maintain	534	launch	876	pas
cost	require	484	repair	868	pas
cost	achieve	479	move	797	pas
cost	afford	443	show	759	pas
cost	exceed	395	cut	674	pas
cost	minimize	369	lead	623	pas
cost	determine	366	play	583	pas
cost	contribute	360	release	561	pas
cost	focus	359	drive	536	pas
cost	trust	336	buy	525	pas
cost	accommodate	334	rise	487	pas
cost	continue	328	raise	461	pas
cost	justify	302	call	444	pas
cost	consider	281	waste	438	pas
cost	gain	280	reach	413	pas
cost	vary	275	turn	412	pas
cost	ensure	272	sell	402	pas
cost	express	272	live	402	pas
cost	prevent	265	fall	382	pas
cost	let	246	stand	376	pas
cost	generate	241	cast	362	pas
cost	implement	235	carry	362	pas
cost	remain	228	serve	361	pas
cost	stay	216	figure	343	pas
cost	enable	215	cross	339	pas
cost	want	196	split	315	pas
cost	establish	184	saw	315	pas
cost	incur	181	stop	303	pas
cost	represent	179	fell	297	pas
cost	tend	176	spread	292	pas
cost	know	170	hold	284	pas
cost	promote	169	sound	270	pas
cost	recoup	163	fight	264	pas
cost	manage	162	strike	257	pas
cost	affect	149	step	239	pas
cost	believe	141	rebuild	228	pas
cost	try	137	capture	207	pas
cost	conduct	132	aim	202	pas
cost	occur	118	vote	196	pas
cost	hope	114	break	186	pas
cost	evaluate	111	click	182	pas
cost	earn	111	expand	178	pas
cost	guarantee	110	hit	172	pas
cost	maximize	108	follow	171	pas
cost	assume	103	drop	164	pas
cost	exist	103	visit	152	pas
cost	facilitate	101	switch	147	pas
cost	lose	98	pack	145	pas
cost	subsidize	97	stretch	144	pas
cost	prove	95	fly	132	pas
cost	prepare	94	permit	131	pas
cost	overcome	93	sign	131	pas
cost	shall	92	push	126	pas
cost	suggest	91	shut	124	pas
cost	assess	90	roll	124	pas
cost	defend	90	lift	120	pas
cost	decide	86	console	118	pas
cost	compute	84	escape	117	pas
cost	promise	83	lock	115	pas
cost	depend	79	fill	113	pas
cost	define	77	kill	113	pas
cost	retain	75	paint	113	pas
cost	indicate	74	mix	111	pas
cost	wish	73	draw	111	pas
cost	consist	72	haul	106	pas
cost	compromise	71	collapse	103	pas
cost	enhance	71	handle	103	pas
cost	impose	70	shoot	100	pas
