Noun	Abs V	co-oc-a	Con V	co-oc-c	CORELEX_TYPE
behind	stay	2246	fell	3509	prt
behind	get	2010	work	3324	prt
behind	love	1503	set	2997	prt
behind	remain	1027	show	2779	prt
behind	know	671	run	2570	prt
behind	keep	656	lead	2537	prt
behind	might	582	play	2485	prt
behind	discover	557	see	2387	prt
behind	try	513	open	2135	prt
behind	continue	495	stand	1727	prt
behind	let	487	hit	1646	prt
behind	understand	473	cover	1498	prt
behind	need	447	fall	1481	prt
behind	want	442	move	1359	prt
behind	believe	423	live	1348	prt
behind	focus	414	release	1283	prt
behind	prevent	383	saw	1202	prt
behind	care	381	cast	1165	prt
behind	explain	379	cross	1122	prt
behind	learn	318	vote	1090	prt
behind	hope	301	figure	1089	prt
behind	feel	298	turn	1076	prt
behind	defend	259	hide	1043	prt
behind	gain	252	beat	906	prt
behind	express	250	fight	840	prt
behind	qualify	234	escape	812	prt
behind	ensure	233	sound	806	prt
behind	offer	226	stop	805	prt
behind	investigate	224	break	773	prt
behind	lose	223	cut	771	prt
behind	trust	215	dance	710	prt
behind	develop	188	drive	680	prt
behind	represent	188	rise	671	prt
behind	maintain	188	lay	650	prt
behind	achieve	175	follow	645	prt
behind	improve	171	step	554	prt
behind	settle	169	reach	551	prt
behind	seem	161	walk	549	prt
behind	decide	156	hold	547	prt
behind	establish	154	tie	503	prt
behind	wonder	153	kill	471	prt
behind	demand	149	throw	461	prt
behind	determine	147	carry	449	prt
behind	earn	146	catch	443	prt
behind	indicate	143	sit	439	prt
behind	manage	142	call	424	prt
behind	promote	140	shoot	402	prt
behind	reduce	138	jump	400	prt
behind	tend	136	drop	397	prt
behind	wish	134	draw	385	prt
behind	prove	133	split	383	prt
behind	suggest	126	sign	380	prt
behind	exist	126	strike	379	prt
behind	occur	125	shed	372	prt
behind	conduct	124	uncover	350	prt
behind	solve	122	build	348	prt
behind	realize	119	pack	338	prt
behind	engage	119	kick	334	prt
behind	describe	109	watch	333	prt
behind	enable	103	launch	328	prt
behind	promise	102	capture	319	prt
behind	accommodate	101	serve	318	prt
behind	agree	101	skate	300	prt
behind	consider	95	hunt	295	prt
behind	welcome	95	pick	294	prt
behind	emerge	94	push	293	prt
behind	doubt	93	talk	291	prt
behind	forget	91	travel	280	prt
behind	convince	84	pay	278	prt
behind	prepare	84	spread	273	prt
behind	require	82	smoke	271	prt
behind	shall	79	read	259	prt
behind	retain	76	pull	250	prt
behind	hate	73	fly	250	prt
behind	happen	72	roll	244	prt
behind	blame	66	flee	233	prt
behind	assume	65	lock	226	prt
behind	overcome	65	touch	225	prt
behind	guess	64	produce	214	prt
