Noun	Abs V	co-oc-a	Con V	co-oc-c	CORELEX_TYPE
category	love	627	work	27684	psg
category	belong	549	see	8176	psg
category	let	511	show	2272	psg
category	trust	306	fall	2080	psg
category	express	280	open	2054	psg
category	qualify	273	set	1641	psg
category	define	261	climb	1066	psg
category	get	254	live	1008	psg
category	need	245	dance	924	psg
category	represent	237	play	771	psg
category	care	234	sound	766	psg
category	affect	221	lead	740	psg
category	exist	205	hit	554	psg
category	consider	196	release	505	psg
category	intensify	195	slam	448	psg
category	describe	184	cast	447	psg
category	might	172	fell	410	psg
category	focus	168	run	385	psg
category	comply	166	cross	356	psg
category	require	141	split	355	psg
category	determine	130	hop	338	psg
category	weaken	126	talk	320	psg
category	offer	119	vote	279	psg
category	remain	116	cover	261	psg
category	recognize	107	travel	229	psg
category	know	99	saw	225	psg
category	hope	98	walk	191	psg
category	denote	98	reach	186	psg
category	vary	97	hold	177	psg
category	want	89	jump	169	psg
category	continue	89	snatch	167	psg
category	establish	88	rise	167	psg
category	keep	88	serve	163	psg
category	stay	87	call	155	psg
category	develop	83	move	153	psg
category	hate	78	watch	151	psg
category	demand	77	pick	150	psg
category	occur	76	tie	143	psg
category	indicate	75	drive	142	psg
category	earn	75	figure	139	psg
category	tend	71	turn	138	psg
category	gain	70	launch	136	psg
category	achieve	69	beat	136	psg
category	correspond	66	stand	132	psg
category	consist	64	break	123	psg
category	wish	63	strike	123	psg
category	distinguish	63	throw	122	psg
category	feel	63	fight	119	psg
category	believe	59	google	116	psg
category	conduct	59	read	116	psg
category	maintain	57	roll	112	psg
category	recall	56	produce	109	psg
category	exceed	54	cut	107	psg
category	decide	53	waste	104	psg
category	constitute	53	sign	104	psg
category	shall	49	cook	97	psg
category	promote	48	follow	96	psg
category	suppose	47	carry	90	psg
category	defend	47	pay	86	psg
category	suggest	46	seal	86	psg
category	reduce	46	write	84	psg
category	justify	45	aim	83	psg
category	attribute	44	step	83	psg
category	improve	42	build	81	psg
category	learn	42	mix	80	psg
category	generate	42	lift	79	psg
category	lose	42	measure	76	psg
category	ensure	41	stop	76	psg
category	try	41	catch	75	psg
category	differ	40	wear	74	psg
category	relate	39	shoot	74	psg
category	seem	38	draw	74	psg
category	satisfy	38	shear	71	psg
category	understand	38	fly	69	psg
category	attain	36	kiss	68	psg
category	withstand	36	bloom	65	psg
category	guess	35	kickboxing	65	psg
category	comprise	34	bang	64	psg
category	promise	33	spin	59	psg
category	wonder	32	drop	58	psg
category	retain	32	scream	58	psg
category	prove	31	volunteer	55	psg
category	imagine	29	buy	54	psg
category	happen	29	check	54	psg
category	doubt	29	spike	54	psg
category	explain	29	escape	52	psg
category	welcome	29	switch	52	psg
category	enjoy	29	twitter	52	psg
category	agree	28	sing	51	psg
category	prevent	27	sleep	47	psg
category	discover	27	kill	46	psg
category	generalize	26	kick	44	psg
category	dominate	26	skate	43	psg
category	woo	26	visit	42	psg
category	specify	26	permit	41	psg
category	depend	25	hurt	41	psg
category	manage	25	push	40	psg
category	differentiate	24	capture	39	psg
