Noun	Abs V	co-oc-a	Con V	co-oc-c	CORELEX_TYPE
assault	conduct	373	capture	701	pya
assault	commit	347	see	646	pya
assault	prepare	307	launch	607	pya
assault	prevent	195	lead	505	pya
assault	defend	180	set	406	pya
assault	get	169	fight	326	pya
assault	continue	162	kill	307	pya
assault	need	125	work	291	pya
assault	care	122	cover	265	pya
assault	might	114	stop	251	pya
assault	keep	112	cross	247	pya
assault	try	95	saw	247	pya
assault	withstand	94	fell	235	pya
assault	love	88	open	233	pya
assault	believe	87	carry	222	pya
assault	hate	86	hit	211	pya
assault	investigate	85	release	205	pya
assault	engage	81	show	204	pya
assault	hope	70	escape	200	pya
assault	remain	69	hold	188	pya
assault	develop	68	strike	185	pya
assault	repulse	67	fall	183	pya
assault	occur	59	call	167	pya
assault	let	59	break	163	pya
assault	know	58	live	161	pya
assault	focus	58	run	151	pya
assault	constitute	55	follow	132	pya
assault	gain	53	stand	129	pya
assault	reinforce	53	move	128	pya
assault	want	51	pack	119	pya
assault	reduce	49	pronged	118	pya
assault	establish	49	turn	117	pya
assault	require	47	escort	111	pya
assault	offer	46	play	108	pya
assault	succeed	43	drive	108	pya
assault	trust	42	cut	108	pya
assault	maintain	40	spearhead	99	pya
assault	ensure	37	pay	96	pya
assault	prove	37	beat	91	pya
assault	manage	37	reach	88	pya
assault	describe	37	serve	88	pya
assault	consider	36	volunteer	83	pya
assault	renew	36	rob	82	pya
assault	learn	36	cast	79	pya
assault	blame	35	sound	71	pya
assault	shall	35	arrive	69	pya
assault	improve	34	split	69	pya
assault	consist	34	trespass	62	pya
assault	lose	34	raise	60	pya
assault	feel	34	seize	60	pya
assault	deter	34	lift	59	pya
assault	vary	33	drop	58	pya
assault	stay	33	halt	57	pya
assault	suffer	33	shoot	55	pya
assault	doubt	31	figure	54	pya
assault	endure	31	push	53	pya
assault	achieve	31	spread	52	pya
assault	express	30	lay	51	pya
assault	fend	30	flee	49	pya
assault	decide	29	build	49	pya
assault	neglect	29	kidnap	48	pya
assault	justify	28	aim	47	pya
assault	demand	28	rise	47	pya
assault	enable	27	jump	45	pya
assault	overcome	27	vote	43	pya
assault	intimidate	24	smoke	43	pya
assault	determine	24	produce	41	pya
assault	define	24	occupy	40	pya
assault	resign	23	wear	40	pya
assault	inform	23	watch	40	pya
assault	exist	23	draw	39	pya
assault	exploit	22	ditch	38	pya
assault	undertake	22	step	38	pya
assault	welcome	22	stick	38	pya
assault	recall	22	resume	37	pya
assault	discover	21	seal	37	pya
assault	qualify	20	repair	36	pya
assault	promise	20	hunt	36	pya
assault	disclose	20	handle	35	pya
assault	indicate	20	speak	34	pya
assault	facilitate	19	fly	34	pya
assault	convince	19	measure	33	pya
assault	represent	19	hurt	33	pya
assault	accuse	19	visit	33	pya
assault	recognize	18	tear	33	pya
assault	dismiss	18	tie	33	pya
assault	regain	17	steal	32	pya
assault	understand	17	dive	32	pya
assault	liberate	17	sign	32	pya
assault	agree	17	blow	31	pya
assault	happen	16	check	31	pya
assault	wonder	16	assemble	30	pya
assault	expect	16	talk	30	pya
assault	condemn	16	buy	29	pya
assault	deviate	16	mix	29	pya
assault	promote	16	climb	29	pya
assault	cease	16	sweep	28	pya
assault	reclaim	15	sell	27	pya
assault	wish	15	read	27	pya
assault	negotiate	15	injure	26	pya
care	care	28634	work	5038	pya
care	trust	3947	see	2490	pya
care	need	2883	live	1210	pya
care	improve	2143	pay	1160	pya
care	love	1978	set	1157	pya
care	ensure	1304	show	900	pya
care	get	1129	run	878	pya
care	require	1072	open	767	pya
care	focus	1040	handle	692	pya
care	offer	828	lead	669	pya
care	know	774	cross	558	pya
care	stay	767	play	512	pya
care	reduce	636	cover	477	pya
care	prevent	595	follow	474	pya
care	keep	584	serve	469	pya
care	develop	579	release	454	pya
care	continue	573	raise	438	pya
care	want	570	move	422	pya
care	promote	533	travel	418	pya
care	repeal	515	treat	396	pya
care	maintain	481	call	393	pya
care	remain	461	visit	382	pya
care	might	453	cast	362	pya
care	establish	437	build	343	pya
care	let	427	turn	341	pya
care	demand	359	fall	337	pya
care	manage	348	volunteer	333	pya
care	afford	344	saw	326	pya
care	seem	339	expand	318	pya
care	learn	318	burn	306	pya
care	hope	313	sleep	301	pya
care	believe	300	aim	295	pya
care	wish	261	vote	291	pya
care	feel	258	measure	266	pya
care	conduct	236	step	266	pya
care	understand	236	fight	265	pya
care	achieve	233	cut	253	pya
care	promise	231	hold	240	pya
care	shall	231	stop	239	pya
care	enhance	227	collect	237	pya
care	neglect	216	fell	232	pya
care	enable	205	sound	221	pya
care	determine	205	walk	218	pya
care	educate	202	break	210	pya
care	tend	194	reach	208	pya
care	facilitate	193	rise	208	pya
care	implement	193	hit	208	pya
care	exist	191	cook	202	pya
care	contribute	187	repair	195	pya
care	welcome	185	talk	189	pya
care	affect	184	dance	187	pya
care	try	180	drive	183	pya
care	prepare	167	watch	180	pya
care	gain	158	kill	178	pya
care	consider	151	spread	177	pya
care	engage	142	waste	172	pya
care	lose	139	read	171	pya
care	assess	136	produce	170	pya
care	express	135	lay	170	pya
care	coordinate	132	carry	170	pya
