noun	concrete_verb_one	concrete_verb_two	abstract_verb_one	abstract_verb_two
network	repair	expand	keep	manage
library	open	visit	know	need
violence	watch	escape	want	need
behavior	mimic	notice	define	explain
ceremony	hold	watch	know	love
sculpture	produce	decorate	resemble	describe	
painting	repair	produce	want	describe
treatment	stop	follow	know	require
entrance	open	cross	prepare	prevent
article	write	publish	trust	describe	
drawing	draw	produce	love	describe
journal	read	write	keep	need
medicine	open	produce	need	know
pattern	draw	paint	vary	know
picture	carry	produce	want	describe
portrait	show	paint	want	need
surgery	stop	lead	trust	improve
conflict	watch	escape	solve	prevent
attack	launch	escape	want	prevent
speech	read	write	repeal	promote
wedding	hold	announce	want	renew
mission	lead	launch	explain	promote
ministry	move	visit	trust	conduct
newspaper	read	write	trust	manage
market	reach	visit	trust	dominate
traffic	halt	cross	improve	reduce
monument	build	visit	love	need
