candidate obtained from Corelex	frequency in pUkWac
abuse	61190
academic	37507
acceptance	41619
access	596757
accountant	23230
accounting	45757
acquisition	60728
activist	33509
activity	716056
actor	71691
adaptation	30883
administrator	40009
admission	83395
advance	131257
advertising	92900
adviser	54395
advisor	30902
advocate	24006
affair	77900
agency	219809
agreement	258413
agriculture	39800
aid	132742
airline	38110
alarm	46020
algorithm	41284
allocation	39177
allowance	50543
ally	22967
alternative	109716
analysis	315117
analyst	30068
ancestor	21708
anger	29178
animation	35827
answer	233787
anxiety	39239
appeal	137002
appearance	105410
applicant	122515
appreciation	29302
approval	84697
archaeology	29434
architect	44170
architecture	71118
argument	171248
army	83976
arrow	21687
art	393368
article	501703
artist	222751
aspect	304775
assault	26257
assembly	57303
assessment	321870
asset	121791
assignment	48857
assistance	111278
assistant	41308
athlete	40272
attack	178526
attention	208886
auction	33544
auditor	22546
author	315691
average	79901
award	243737
awareness	134070
backing	19648
ballot	25763
band	279636
bargain	21199
basis	306569
battery	72064
beer	57563
beginner	31086
behalf	117999
behavior	24929
behaviour	185266
believer	25112
belt	34155
benefit	458730
bet	26055
bid	66641
blend	23653
bomb	45087
bone	74731
bonus	50356
book	964005
boost	21346
boot	50293
border	79634
bottle	70979
boy	173503
breach	53338
breakdown	31471
breakfast	80944
breast	40430
brigade	26039
broker	29663
brother	117050
budget	140638
building	508756
bullet	20324
bunch	26654
burden	43037
burning	24104
business	1122877
button	145982
buyer	60696
cabinet	27027
calculation	49865
call	268900
campaigner	20235
candidate	182663
candle	21084
captain	30642
caravan	20350
care	485390
carriage	29070
cash	126960
casino	43441
castle	51896
catalogue	74299
category	176630
caution	20927
ceiling	36452
cent	243824
ceremony	57962
certification	26122
chairman	63290
challenge	213871
champion	43680
chapel	26564
charm	23635
chart	64638
check	118355
chemistry	33121
chest	31831
child	1392399
chocolate	36252
choice	338189
choir	24822
church	338542
circulation	25619
circumstance	185111
citizen	83858
claim	246496
claimant	34082
classification	39669
click	495528
client	355383
clip	40535
closing	31213
closure	41457
cloud	44400
club	340295
coalition	23067
coin	35594
colleague	112392
college	154942
comfort	64172
commander	23384
comment	473521
commissioner	23223
commitment	170744
committee	181483
communication	262410
companion	32644
comparison	94689
compensation	65770
competition	225334
competitor	44231
compilation	21920
complaint	158326
compliance	57129
complication	23410
composer	34309
compromise	20434
con	19746
concentration	63370
concept	193859
concern	284291
concession	25228
conduct	47928
confidentiality	24069
confirmation	37958
conflict	113697
confusion	41127
congestion	23697
congregation	24888
conservative	20988
consideration	140258
constituency	26669
constitution	32667
construction	167216
consultant	106343
consultation	209154
consumer	175359
consumption	56219
context	212029
contract	283469
contractor	63354
contrast	72052
contribution	212694
contributor	32816
convenience	29392
conversion	59764
conviction	36925
copy	332799
corruption	22096
cost	699856
council	236551
councillor	70205
counter	23804
counterpart	20356
courtesy	30856
cousin	20183
coverage	89832
creativity	34928
credit	291380
creditor	22847
crew	83226
criminal	21699
crisis	82098
critic	41420
crowd	77568
culture	230027
currency	49315
custom	57963
customer	463345
cyclist	28537
cylinder	26822
dad	33076
damage	179453
dance	110261
dancer	28422
datum	576891
daughter	115954
dealer	38460
debate	173839
debt	119739
decision	446755
deck	38509
decoration	20367
deed	23861
default	89989
defeat	34962
defect	26384
defence	106913
defendant	33079
defender	27438
delay	73861
delegate	60596
delight	23898
delivery	261578
democracy	62650
demonstration	65070
dentist	20234
department	231446
depth	90489
description	197526
design	526694
designer	84536
destination	73870
detection	35376
determination	43933
device	169906
diary	49216
difference	294498
difficulty	189477
director	243855
disappointment	22265
disc	59123
disciple	23858
discipline	91109
discount	74699
discourse	26977
discovery	59522
discrimination	62198
discussion	314919
disk	64747
display	169546
disposal	46425
distance	160821
distress	23214
distribution	133492
disturbance	19800
dive	32686
dividend	23799
document	461580
documentation	65874
donation	72253
donor	37102
door	246263
dose	53548
drawing	61669
dream	96408
drinking	37219
drive	153555
duty	196797
dynamics	29048
earthquake	20505
ease	32024
economics	33658
edition	140385
efficiency	83923
electricity	63115
electronics	21968
eleven	25104
emergency	99940
emotion	46695
employee	240755
employer	233379
enclosure	20683
encouragement	25107
enemy	83586
engagement	47481
engineering	116170
enjoyment	26420
enquiry	117044
enterprise	82863
enthusiast	27749
entitlement	27623
entrance	95297
entrepreneur	22016
entry	280908
envelope	25781
episode	67275
equation	40068
equity	40888
error	163066
essay	75891
estimate	61273
ethic	36590
evaluation	129851
event	913607
evil	28511
examination	144079
examiner	23632
example	841945
exception	85616
excess	38493
excitement	28819
exclusion	43933
execution	36106
executive	74665
exhibit	20267
exhibition	152671
exit	46576
expectation	79701
expedition	38819
expenditure	58453
expense	98298
experience	814371
experiment	102800
expert	179582
exploration	39810
expression	109595
fabric	40913
facility	399352
faculty	32134
fair	22134
faith	135483
farmer	105024
fashion	75474
favour	67684
favourite	48367
fear	121238
fee	270241
feed	44096
feedback	121845
feeding	20591
feeling	132597
fellow	39009
ferry	32482
festival	87015
fibre	36027
fight	64765
film	441322
fine	64695
firm	216798
flavour	34282
fleet	45196
flesh	25256
focus	164132
folk	59377
follower	20914
following	103653
font	47837
food	480256
football	118069
forum	140695
founder	40080
framework	140873
friend	451593
frustration	19999
fun	196319
fund	222760
gain	76622
gallery	87706
gang	22575
garden	260567
gathering	26082
general	52591
genius	20493
genre	39172
gentleman	36056
geography	35870
gift	155406
gig	52430
girl	187695
globe	23805
go	23029
goal	222533
governance	43651
government	787366
grace	38855
graduate	97418
grammar	27099
graphics	62067
growth	230685
guarantee	55790
guest	134581
guidance	204681
habit	46092
happiness	24070
hat	39896
headache	20235
headquarters	26881
hedge	20454
heritage	58427
hierarchy	20259
hip	32095
historian	42853
hit	63866
holding	39756
home	975103
hope	110427
horizon	21691
household	98965
husband	87536
idea	575865
ideal	37344
identification	62752
identity	122076
illustration	52444
imagination	42661
imaging	25565
immigrant	24942
incentive	43704
incidence	27079
incident	112374
inclusion	75307
income	202701
incorporation	30170
independence	46041
indication	49442
indicator	62298
individual	340572
industry	475530
infant	21254
infection	88894
inflation	34884
inhabitant	26825
inheritance	19911
initiative	194333
innovation	76761
inquiry	51386
insight	77588
inspector	33132
installation	106665
instance	143528
institution	210364
instruction	138908
instructor	33494
intake	32574
intelligence	64161
intention	83576
interface	105013
interpretation	88069
intervention	78748
interview	186066
introduction	234812
invention	23868
investigation	141026
investigator	21575
investor	59504
invitation	41977
involvement	99226
isolation	26667
jazz	56843
joke	34739
journal	129069
journalist	63567
joy	49856
judge	87397
judgement	52616
judgment	53119
juice	27346
jury	20841
justification	23482
keeper	28950
kick	24813
kidney	21767
kind	335354
knee	43704
knowledge	412264
lad	30278
ladder	24681
lady	79122
landing	30130
landlord	52250
launch	85906
lawyer	62548
layout	53501
learner	76621
learning	166661
lecture	70940
lecturer	48840
legacy	33204
legislation	163416
leisure	72211
lender	37350
lesson	133781
letter	338970
level	975925
liability	108817
liberty	27798
library	266002
license	43409
lie	26456
lift	41786
lighting	49960
listener	22684
listing	67723
literacy	51317
literature	112328
loan	191008
logic	41337
look	211495
loop	45844
lover	32979
loyalty	22810
luck	51816
lunch	94359
lung	30932
magazine	155099
magic	25542
mail	91139
mainstream	19953
maintenance	122710
maker	59154
management	596868
manager	280072
manufacturer	104181
map	238692
mapping	29166
marker	27713
market	564917
marriage	91137
mask	29221
maternity	23582
mathematics	52603
meal	106327
mean	139392
measurement	75568
mediation	22867
medication	39040
medicine	113875
membership	173562
memorial	27835
memory	190841
mentor	25132
merchant	41983
mercy	19838
methodology	52668
midnight	20044
midwife	21662
milk	66749
mill	37305
mind	285331
ministry	40294
mission	100422
mistake	73988
modification	41565
module	222354
money	516513
monk	20366
monster	23651
monument	33277
mortality	24978
mortgage	110912
motivation	40506
muscle	72151
music	495161
musician	56345
neighbour	55849
nerve	36022
network	398253
newspaper	122066
nobody	48700
noise	95082
noon	20492
north	69846
notice	190325
notion	52088
novel	93602
