noun	verb	case	frequency
access	improve	abstract	8660
access	ensure	abstract	2988
access	need	abstract	2790
access	require	abstract	2388
access	enable	abstract	2336
access	want	abstract	828
access	manage	abstract	587
access	develop	abstract	462
access	afford	abstract	403
access	affect	abstract	344
access	consider	abstract	330
access	reduce	abstract	300
access	simplify	abstract	179
access	know	abstract	177
access	relate	abstract	164
access	believe	abstract	129
access	regulate	abstract	128
access	define	abstract	116
access	prohibit	abstract	114
access	situate	abstract	114
access	approve	abstract	107
access	perceive	abstract	100
access	suggest	abstract	100
access	expect	abstract	96
access	wish	abstract	88
access	regain	abstract	72
access	depend	abstract	67
access	promise	abstract	67
access	forbid	abstract	61
access	maximize	abstract	57
access	inhibit	abstract	57
access	imply	abstract	56
access	assume	abstract	50
access	welcome	abstract	50
access	become	abstract	48
access	resolve	abstract	46
access	advise	abstract	46
access	rely	abstract	43
access	impair	abstract	41
access	explain	abstract	40
access	comprise	abstract	39
access	confirm	abstract	39
access	evaluate	abstract	33
access	preclude	abstract	32
access	impose	abstract	30
access	solve	abstract	30
access	prefer	abstract	28
access	deserve	abstract	28
access	hope	abstract	27
access	denote	abstract	27
access	intend	abstract	26
access	remain	abstract	26
access	inherit	abstract	26
access	qualify	abstract	23
access	decide	abstract	21
access	vary	abstract	19
access	render	abstract	19
access	justify	abstract	18
access	exploit	abstract	18
access	occur	abstract	18
access	forget	abstract	17
access	renew	abstract	16
access	prove	abstract	15
access	conduct	abstract	15
access	differ	abstract	14
access	equate	abstract	14
access	excel	abstract	14
access	exceed	abstract	13
access	happen	abstract	13
access	stay	abstract	13
access	await	abstract	11
access	satisfy	abstract	11
access	commit	abstract	11
access	seem	abstract	10
access	verify	abstract	10
access	insist	abstract	10
access	entail	abstract	9
access	suppose	abstract	8
access	conclude	abstract	8
access	evolve	abstract	8
access	declare	abstract	8
access	empower	abstract	8
access	confuse	abstract	8
access	consist	abstract	8
access	imagine	abstract	7
access	endanger	abstract	7
access	incur	abstract	7
access	trust	abstract	7
access	engage	abstract	7
access	educate	abstract	7
access	invoke	abstract	6
access	presume	abstract	6
access	violate	abstract	6
access	regret	abstract	5
access	concede	abstract	5
access	predict	abstract	5
access	clarify	abstract	5
access	contend	abstract	5
access	strive	abstract	5
access	degrade	abstract	4
access	write	concrete	813
access	cover	concrete	349
access	show	concrete	159
access	build	concrete	142
access	raise	concrete	123
access	check	concrete	118
